Ciudad,Longitud,Latitud
Albury,-36.0806,146.9158
BadgerysCreek,-33.74,151.03
Cobar,-31.49,145.84
CoffsHarbour,-30.3022,153.1189
Moree,-29.465,149.8344
Newcastle,55.0077,-1.6578
NorahHead,-3389,151.2
NorfolkIsland,-29.03,167.94
Penrith,54.6648,-2.7548
Richmond,37.5295,-77.4756
Sydney,-33.865,151.2094
SydneyAirport,-33.865,151.2094
WaggaWagga,-35.1189,147.3689
Williamtown,-37.86,144.88
Wollongong,-34.4331,150.8831
Canberra,-35.2931,149.1269
Tuggeranong,-35.59,149
MountGinini,-35.52,148.77
Ballarat,-37.55,143.85
Bendigo,-36.75,144.2667
Sale,34.05,-6.8167
MelbourneAirport,-37.8136,144.9631
Melbourne,-37.8136,144.9631
Mildura,-34.1889,142.1583
Nhil,-36.33,141.64
Portland,45.5372,-122.65
Watsonia,-37.71,145.08
Dartmoor,-37.91,141.27
Brisbane,-27.4678,153.0281
Cairns,-16.9303,145.7703
GoldCoast,-28.0167,153.4
Townsville,-19.2564,146.8183
Adelaide,-34.9289,138.6011
MountGambier,-37.8294,140.7828
Nuriootpa,-34.4667,138.9833
Woomera,-31.1496,136.8
Albany,42.6664,-73.7987
Witchcliffe,-34.02,115.09
PearceRAAF,-31.95,115.85
PerthAirport,-31.9522,115.8589
Perth,-31.9522,115.8589
SalmonGums,-32.97,121.63
Walpole,42.1465,-71.2555
Hobart,-42.8806,147.325
Launceston,50.635,-4.354
AliceSprings,-23.7,133.8667
Darwin,-12.4381,130.8411
Katherine,-14.4667,132.2667
Uluru,-25.345,131.03
